"alpha","VG","expectation","thresh","totalP","Pdetected","Pnotdetected
"
0.00025,0.101,0.08682524063380657,0.47265134697707667,0.5268455530682248,0.010043690488270827,0.5168018625799536
0.00025,0.0101,0.08682524063380657,0.47265134697707667,0.5312451885507243,0.010484141839056368,0.5207610467116676
0.00025,0.00101,0.08682524063380657,0.47265134697707667,0.5355201863365803,0.011295130219907952,0.524225056116672
0.0005,0.101,0.0867269461463381,0.47253703019855425,0.5272220697883624,0.010087546221344673,0.5171345235670173
0.0005,0.0101,0.0867269461463381,0.47253703019855425,0.5360228290530074,0.010989139508905836,0.5250336895441009
0.0005,0.00101,0.0867269461463381,0.47253703019855425,0.5445437606146251,0.012732331737620168,0.5318114288770044
0.00075,0.101,0.08656334518310722,0.4723464330681145,0.5273224120600541,0.010131526794061168,0.5171908852659928
0.00075,0.0101,0.08656334518310722,0.4723464330681145,0.5405220400296928,0.011515273859413054,0.5290067661702795
0.00075,0.00101,0.08656334518310722,0.4723464330681145,0.5532545489128669,0.01432296208641853,0.5389315868264479
0.001,0.101,0.08633477215019456,0.47207945276946145,0.5271461145655917,0.01017558722704225,0.5169705273385493
0.001,0.0101,0.08633477215019456,0.47207945276946145,0.5447383110274047,0.012062677799594992,0.5326756332278095
0.001,0.00101,0.08633477215019456,0.47207945276946145,0.5616440820629448,0.01607866057382412,0.5455654214891202
0.002,0.101,0.08478208582412056,0.470244311748571,0.5236664840302588,0.01035162691492546,0.5133148571153329
0.002,0.0101,0.08478208582412056,0.470244311748571,0.5586783791425078,0.014462949391295348,0.544215429751212
0.002,0.00101,0.08478208582412056,0.470244311748571,0.5918532338912562,0.02498955923597589,0.5668636746552794
0.005,0.101,0.07461421164627244,0.4572181746244049,0.48685902878946696,0.010852744038680492,0.47600628475078616
0.005,0.0101,0.07461421164627244,0.4572181746244049,0.5703521554844337,0.023405541861690887,0.5469466136227427
0.005,0.00101,0.07461421164627244,0.4572181746244049,0.6484190074487679,0.07541029013791846,0.5730087173108495
